Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
532713,SAKUMA,B,5.50,5.50,5.02,5.16,6874,0.35,32
500210,INGERRAND,B,634.00,635.20,631.85,633.45,52,0.33,20
505141,SCOOTER,T,25.10,25.10,25.10,25.10,1232,0.31,8
570004,JISLDVREQS,B,5.68,5.68,5.68,5.68,5381,0.31,11
503811,SIYSIL,B,132.10,133.10,130.80,131.60,221,0.29,38
530759,STERTOOLS,B,139.85,141.10,138.20,141.10,208,0.29,65
533400,FCONSUMER,A,8.42,8.42,8.42,8.42,3285,0.28,15
533156,VASCONEQ,B,8.35,8.45,8.25,8.32,3058,0.26,15
505526,DOLAT,B,37.70,39.90,37.70,39.40,620,0.24,23
540653,SINTEXPLAST,T,1.11,1.11,1.11,1.11,19454,0.22,26
539351,PRABHAT,B,68.85,68.85,67.65,68.05,311,0.21,9
532660,VIVIMEDLAB,B,14.01,14.01,14.01,14.01,1346,0.19,11
515055,ANANTRAJ,B,17.95,18.35,17.95,18.00,996,0.18,12
534758,CIGNITI,B,254.00,254.00,241.00,242.20,71,0.18,40
500193,HLVLTD,B,3.84,3.95,3.70,3.81,4383,0.17,22
524820,PANAMAPET,B,37.50,39.50,37.50,38.85,440,0.17,6
531543,JINDWORLD,B,29.50,29.50,26.90,27.70,533,0.15,45
532776,SHIVAMAUTO,B,11.01,11.83,11.01,11.83,1312,0.15,35
532775,GTLINFRA,T,0.29,0.29,0.29,0.29,47908,0.14,10
532370,RAMCOSYS,B,81.00,81.70,80.90,81.15,156,0.13,6
539126,MEP,B,14.62,14.62,14.62,14.62,800,0.12,2
542399,CHALET,B,168.00,174.00,167.85,169.60,69,0.12,13
533262,RAMKY,B,28.60,28.90,27.85,28.90,383,0.11,11
533470,RUSHIL,B,113.25,113.25,113.25,113.25,101,0.11,3
532804,TIIL,B,220.65,220.65,220.65,220.65,50,0.11,1
538598,VISHAL,T,210.00,210.00,210.00,210.00,50,0.11,1
517562,TRIGYN,B,28.40,29.00,27.35,28.00,383,0.11,39
